borough,developmen,tds_num,Latitude,Longitude,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT,under_ten,ten_twenty,twenty_thirty,avg_travel_time,count_score,time_score,time_score_2
BRONX,MARBLE HILL,49,40.87549,-73.907621,49,"1,680","1,682","7,112.0",4.23,"2,713","3,261",737,0.445,11,1,"$2,539.00",$517.00,9,16,26,19,0.908788780274132,0.598706325682924,0.25607418089446200
MANHATTAN,LEXINGTON,50,40.787477,-73.949742,62,448,448,"1,901.0",4.24,817,817,209,0.471,4,0,"$2,515.00",$548.00,11,17,33,18,0.977249868051821,0.691462461274013,0.4132360826130670
QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),51,40.59362,-73.78604,165,417,418,"1,766.5",4.24,837,837,140,0.34,7,0,"$2,901.00",$548.00,1,3,2,15,0.0912112197258679,0.894350226333145,0.03144867688024440
STATEN ISLAND,BERRY,52,40.587176,-74.101989,52,506,506,"2,129.0",4.21,944,944,220,0.439,8,1,"$2,785.00",$511.00,0,0,0,,0.0477903522728147,,0.0
QUEENS,POMONOK,53,40.7334,-73.812668,53,"2,069","2,071","8,838.5",4.27,"4,219","4,219",839,0.409,35,0,"$2,446.00",$563.00,2,4,4,17,0.158655253931457,0.773372647623132,0.07449982901333020
QUEENS,BLAND,54,40.757956,-73.83285,186,399,400,"1,850.5",4.64,863,863,167,0.423,5,0,"$3,205.00",$585.00,5,9,31,20,0.5,0.5,0.2494156554942310
QUEENS,REDFERN,55,40.610173,-73.751745,55,599,604,"2,908.5",4.86,"1,573","1,573",185,0.315,9,0,"$3,186.00",$506.00,0,3,12,20,0.0477903522728147,0.5,0.09219750206043770
BROOKLYN,BREUKELEN,56,40.650958,-73.894416,56,"1,592","1,595","7,460.0",4.69,"3,476","3,476",539,0.343,30,2,"$2,464.00",$544.00,6,5,10,19,0.630558659818236,0.598706325682924,0.13540620779092900
BRONX,EDENWALD,57,40.885809,-73.845144,57,"2,035","2,039","9,675.5",4.75,"4,852","4,852",596,0.297,40,2,"$2,359.00",$564.00,2,9,16,21,0.158655253931457,0.401293674317076,0.1198633070062590
MANHATTAN,CARVER,58,40.790952,-73.950453,58,"1,244","1,246","5,761.0",4.63,"2,586","2,586",502,0.41,13,0,"$4,145.00",$590.00,5,20,27,19,0.5,0.598706325682924,0.3799888908490780
BRONX,FOREST,59,40.824733,-73.90374,59,"1,348","1,350","6,154.0",4.57,"3,002","3,002",498,0.373,15,0,"$3,186.00",$526.00,8,32,76,21,0.841344746068543,0.401293674317076,0.6315378108156160
MANHATTAN,BARUCH,60,40.717441,-73.977787,60,"2,193","2,194","10,240.5",4.67,"4,872","4,872",962,0.445,17,1,"$3,553.00",$534.00,1,17,42,21,0.0912112197258679,0.401293674317076,0.26746369932469300
BROOKLYN,VAN DYKE I,61,40.665695,-73.904409,61,"1,603","1,603","7,402.5",4.62,"3,855","3,855",469,0.297,22,1,"$2,884.00",$546.00,2,19,29,20,0.158655253931457,0.5,0.3010524694260360
MANHATTAN,WASHINGTON,62,40.787509,-73.9462,62,"1,515","1,515","7,053.5",4.66,"3,416","3,416",590,0.394,14,1,"$3,357.00",$563.00,9,23,30,19,0.908788780274132,0.598706325682924,0.4349073132480510
BRONX,THROGGS NECK,63,40.821679,-73.823772,63,"1,182","1,185","5,423.0",4.59,"2,648","2,648",407,0.349,29,2,"$2,859.00",$540.00,0,4,4,20,0.0477903522728147,0.5,0.047488528500658700
MANHATTAN,JEFFERSON,64,40.795383,-73.938834,64,"1,486","1,493","6,945.0",4.67,"3,314","3,314",570,0.387,18,1,"$3,854.00",$565.00,10,31,18,15,0.952209647727185,0.894350226333145,0.5433439914442350
BROOKLYN,BREVOORT,65,40.680366,-73.923858,65,894,896,"4,187.0",4.68,"1,918","1,918",330,0.371,13,1,"$2,849.00",$571.00,8,19,52,21,0.841344746068543,0.401293674317076,0.45705952414065800
QUEENS,SOUTH JAMAICA II,66,40.695095,-73.793662,8,598,600,"2,811.0",4.7,"1,449","1,449",166,0.283,16,0,"$3,030.00",$592.00,2,5,20,21,0.158655253931457,0.401293674317076,0.13180095969589200
BRONX,SOTOMAYOR HOUSES,67,40.826465,-73.866993,67,"1,495","1,497","6,963.5",4.66,"3,286","3,286",567,0.384,28,3,"$2,564.00",$542.00,0,18,31,20,0.0477903522728147,0.5,0.26414092710455300
BROOKLYN,GRAVESEND,68,40.578977,-73.999342,172,627,634,"2,915.5",4.65,"1,463","1,463",217,0.351,15,0,"$2,687.00",$494.00,0,6,8,21,0.0477903522728147,0.401293674317076,0.06986616276965130
BROOKLYN,COOPER PARK,69,40.718074,-73.938449,69,700,700,"3,281.0",4.69,"1,554","1,554",301,0.434,11,0,"$2,346.00",$541.00,1,13,23,21,0.0912112197258679,0.401293674317076,0.19747087793894200
